kenteken,datum_tenaamstelling,merk,voertuigsoort,eerste_kleur,brandstof_omschrijving
61DLSF,2004-01-26,AUDI,Personenauto,GROEN,Diesel
42VXJD,2004-01-16,MITSUBISHI,Bedrijfsauto,N.v.t.,Diesel
94BLNK,2004-02-13,VOLKSWAGEN,Bedrijfsauto,N.v.t.,Diesel
MX83PT,2004-01-08,HONDA,Motorfiets,N.v.t.,Benzine
ZLDV61,2004-02-05,OPEL,Personenauto,GRIJS,Benzine
25NNSR,2004-01-10,PEUGEOT,Personenauto,ZWART,Benzine
49LZZG,2004-01-16,DAEWOO,Personenauto,ZWART,Benzine
63NPRL,2004-01-08,SUZUKI,Personenauto,ROOD,Benzine
13NRLP,2004-01-14,VOLKSWAGEN,Personenauto,GRIJS,Benzine
61NSXL,2004-02-12,TOYOTA,Personenauto,BLAUW,Benzine
09NSDK,2004-01-24,VOLKSWAGEN,Personenauto,BLAUW,Benzine
51NLSN,2004-01-27,OPEL,Personenauto,BLAUW,Benzine
MT16HP,2004-01-15,HONDA,Motorfiets,N.v.t.,Benzine
MV78LJ,2004-02-06,SUZUKI,Motorfiets,N.v.t.,Benzine
89VBJP,2004-02-04,MERCEDES-BENZ,Bedrijfsauto,N.v.t.,Diesel
MJTP65,2004-01-09,KAWASAKI,Motorfiets,N.v.t.,Benzine
82LHPN,2004-01-09,FORD,Personenauto,GRIJS,Benzine
66FVKK,2004-01-09,SUZUKI,Personenauto,GEEL,Benzine
BNXZ50,2004-01-22,VOLVO,Bedrijfsauto,N.v.t.,Diesel
LS44TK,2004-01-02,CITROEN,Personenauto,ROOD,Benzine
30BGXD,2004-02-09,PEUGEOT,Bedrijfsauto,N.v.t.,Diesel
AL6140,2004-01-27,FIAT,Personenauto,BLAUW,Benzine
93NRVB,2004-02-03,TOYOTA,Personenauto,GEEL,Benzine
64NRLV,2004-01-15,VOLVO,Personenauto,BLAUW,Benzine
45FZKK,2004-01-16,FORD,Personenauto,ZWART,Benzine
76NRNT,2004-01-30,MERCEDES-BENZ,Personenauto,GRIJS,Benzine
61VLKV,2004-01-22,VOLKSWAGEN,Bedrijfsauto,N.v.t.,Diesel
PN56FJ,2004-01-08,OPEL,Personenauto,BLAUW,Benzine
FJRN21,2004-02-04,CITROEN,Personenauto,GRIJS,Benzine
55BLGS,2004-01-19,CITROEN,Bedrijfsauto,N.v.t.,Diesel
15NRZL,2004-01-26,VOLVO,Personenauto,GRIJS,Benzine
39HLRN,2004-02-06,TOYOTA,Personenauto,GRIJS,Benzine
ZJ84HX,2004-01-15,VOLKSWAGEN,Personenauto,BLAUW,Benzine
60NSRS,2004-01-30,VOLKSWAGEN,Personenauto,BLAUW,Benzine
15NHXF,2004-02-13,HYUNDAI,Personenauto,GRIJS,Benzine
0075HD,2004-02-14,DAF,Personenauto,ROOD,Benzine
VG27SF,2004-01-13,DODGE,Bedrijfsauto,N.v.t.,Benzine/LPG
30NSVD,2004-02-10,TOYOTA,Personenauto,GRIJS,Benzine
39NPJP,2004-01-21,PEUGEOT,Personenauto,GRIJS,Benzine
MGBS79,2004-01-31,KTM,Motorfiets,N.v.t.,Benzine
55NNZX,2004-01-07,TOYOTA,Personenauto,GRIJS,Benzine
JRFB55,2004-01-13,FORD,Personenauto,BLAUW,Benzine
MD42YK,2004-02-05,SUZUKI,Motorfiets,N.v.t.,Benzine
48NTKT,2004-02-11,LAND ROVER,Personenauto,WIT,Diesel
MH75KY,2004-02-10,HONDA,Motorfiets,N.v.t.,Benzine
SXGJ23,2004-02-09,VOLKSWAGEN,Personenauto,ROOD,Benzine
18NSTG,2004-02-10,PEUGEOT,Personenauto,GRIJS,Benzine
11NNZS,2004-01-10,TOYOTA,Personenauto,GRIJS,Benzine
DE6018,2004-01-26,MORGAN,Personenauto,ROOD,Benzine
MB08KS,2004-01-30,SUZUKI,Motorfiets,N.v.t.,Benzine
HXJZ16,2004-01-28,VOLKSWAGEN,Personenauto,ROOD,Benzine
42NRTV,2004-01-29,RENAULT,Personenauto,ROOD,Benzine
MJVJ08,2004-01-21,HONDA,Motorfiets,N.v.t.,Benzine
VGLD03,2004-02-05,LAND ROVER,Bedrijfsauto,N.v.t.,Benzine/LPG
1412XJ,2004-01-16,VOLKSWAGEN,Personenauto,Niet geregistreerd,Benzine
26NPPP,2004-01-29,HYUNDAI,Personenauto,BLAUW,Benzine
MJTG50,2004-02-07,HARLEY DAVIDSON,Motorfiets,N.v.t.,Benzine
05JZSN,2004-01-22,AUDI,Personenauto,BLAUW,Benzine
11NSNT,2004-01-30,MITSUBISHI,Personenauto,ZWART,Benzine
07NRZT,2004-01-23,LANCIA,Personenauto,GRIJS,Benzine
NK9380,2004-01-27,VOLKSWAGEN,Personenauto,GROEN,Benzine
XV92ZS,2004-01-03,CITROEN,Personenauto,WIT,Benzine
SJHJ35,2004-01-15,HONDA,Personenauto,GROEN,Benzine
92NRKJ,2004-01-16,OPEL,Personenauto,BLAUW,Benzine
45LZRF,2004-01-30,OPEL,Personenauto,ZWART,Benzine
54NRGZ,2004-01-23,TOYOTA,Personenauto,BLAUW,Benzine
02GK89,2004-02-02,FIAT,Personenauto,GROEN,Benzine
MFPG33,2004-01-10,KAWASAKI,Motorfiets,N.v.t.,Benzine
64NPFH,2004-01-02,VOLVO,Personenauto,GROEN,Benzine
50JKXF,2004-01-30,BMW,Personenauto,ZWART,Benzine
72JTLL,2004-01-30,MAZDA,Personenauto,GRIJS,Benzine
07BJNT,2004-01-15,DODGE,Bedrijfsauto,N.v.t.,Diesel
78FZBF,2004-01-31,MERCEDES-BENZ,Personenauto,GRIJS,Benzine
HN20DH,2004-01-23,SAAB,Personenauto,GRIJS,Benzine
6533RT,2004-01-05,CITROEN,Personenauto,ZWART,Benzine
02NTJX,2004-02-13,OPEL,Personenauto,GEEL,Benzine
BDST93,2004-01-09,DAF,Bedrijfsauto,N.v.t.,Diesel
GLVT65,2004-02-07,FORD,Personenauto,BLAUW,Benzine
AL1984,2004-01-07,ROVER,Personenauto,ZWART,Benzine/LPG
MT17ZT,2004-01-29,SUZUKI,Motorfiets,N.v.t.,Benzine
MJRX37,2004-01-12,APRILIA,Motorfiets,N.v.t.,Benzine
ZF1771,2004-01-06,PUCH,Motorfiets,N.v.t.,Benzine
95NPBG,2004-01-26,SAAB,Personenauto,GEEL,Benzine
MP91HF,2004-02-05,SUZUKI,Motorfiets,N.v.t.,Benzine
MHDZ15,2004-01-31,YAMAHA,Motorfiets,N.v.t.,Benzine
84NPSK,2004-01-16,MAZDA,Personenauto,ZWART,Benzine
57JTNH,2004-02-04,SEAT,Personenauto,GROEN,Benzine
58NPPN,2004-01-09,FORD,Personenauto,GRIJS,Benzine
87VXFP,2004-02-02,CHEVROLET,Bedrijfsauto,N.v.t.,Benzine/LPG
MJLF05,2004-01-23,YAMAHA,Motorfiets,N.v.t.,Benzine
58NPNP,2004-01-07,RENAULT,Personenauto,ZWART,Benzine
XR3454,2004-02-04,BMW,Motorfiets,N.v.t.,Benzine
22BLKG,2004-02-13,FORD,Bedrijfsauto,N.v.t.,Benzine
AL6212,2004-01-23,VOLKSWAGEN,Personenauto,BLAUW,Benzine
73NSSJ,2004-01-29,VOLVO,Personenauto,BLAUW,Benzine
35NNXP,2004-01-08,CITROEN,Personenauto,GRIJS,Benzine
MG41YJ,2004-02-04,HONDA,Motorfiets,N.v.t.,Benzine
PPNT53,2004-01-29,SAAB,Personenauto,ZWART,Benzine
MG34PP,2004-01-02,CAGIVA,Motorfiets,N.v.t.,Benzine
79NSSL,2004-02-06,NISSAN,Personenauto,BLAUW,Benzine
23NPVG,2004-02-12,VOLKSWAGEN,Personenauto,GRIJS,Benzine
96BFSF,2004-01-16,VOLKSWAGEN,Bedrijfsauto,N.v.t.,Diesel
89NPHR,2004-01-02,MERCEDES-BENZ,Personenauto,ZWART,Benzine
AH7842,2004-02-13,JAGUAR,Personenauto,ROOD,Benzine
30NPXF,2004-01-13,VOLKSWAGEN,Personenauto,BLAUW,Benzine
BPDL73,2004-01-12,MERCEDES-BENZ,Bedrijfsauto,N.v.t.,Diesel
78NPBD,2004-01-05,SUZUKI,Personenauto,GRIJS,Benzine
98HRZB,2004-01-20,TOYOTA,Personenauto,GRIJS,Benzine
56NTFH,2004-02-11,VOLKSWAGEN,Personenauto,GRIJS,Benzine
ML99BD,2004-01-30,SUZUKI,Motorfiets,N.v.t.,Benzine
07NSPV,2004-01-30,MAZDA,Personenauto,BLAUW,Benzine
12NNZR,2004-01-20,ROVER,Personenauto,BLAUW,Benzine
34DM77,2004-01-22,FIAT,Personenauto,ROOD,Benzine
XZ2874,2004-01-09,HONDA,Motorfiets,N.v.t.,Benzine
56LPSV,2004-02-06,VOLVO,Personenauto,BLAUW,Benzine
SHPT78,2004-01-17,VOLKSWAGEN,Personenauto,ZWART,Benzine
MG44TZ,2004-01-07,BMW,Motorfiets,N.v.t.,Benzine
68FZLJ,2004-01-10,FIAT,Personenauto,ZWART,Benzine
MJSR70,2004-01-06,HONDA,Motorfiets,N.v.t.,Benzine
MJVP06,2004-01-27,BMW,Motorfiets,N.v.t.,Benzine
88NPSR,2004-01-09,FIAT,Personenauto,BLAUW,Benzine
06NSFP,2004-02-13,MONCAYO,Personenauto,WIT,Diesel
ZF0841,2004-02-10,MOTO-GUZZI,Motorfiets,N.v.t.,Benzine
HR39YY,2004-02-12,VOLKSWAGEN,Personenauto,ROOD,Benzine
MFPS92,2004-02-06,SUZUKI,Motorfiets,N.v.t.,Benzine
VB72TH,2004-02-04,IVECO,Bedrijfsauto,N.v.t.,Diesel
YV14ZG,2004-01-17,FORD,Personenauto,ROOD,Benzine
73NRHK,2004-01-15,RENAULT,Personenauto,BLAUW,Benzine
61FDXP,2004-02-11,PEUGEOT,Personenauto,ROOD,Benzine/LPG
27JSBZ,2004-01-16,NISSAN,Personenauto,GRIJS,Benzine
68NLVG,2004-01-07,PEUGEOT,Personenauto,GRIJS,Benzine
30NE97,2004-01-06,SIMCA,Personenauto,GROEN,Benzine
MJBH13,2004-02-06,BUELL,Motorfiets,N.v.t.,Benzine
XXXJ83,2004-02-02,RENAULT,Personenauto,BRUIN,Benzine
47NRTP,2004-01-31,SUZUKI,Personenauto,ROOD,Benzine
MHRZ81,2004-01-31,HONDA,Motorfiets,N.v.t.,Benzine
95BLHV,2004-01-15,VOLKSWAGEN,Bedrijfsauto,N.v.t.,Diesel
TJPP65,2004-01-17,JEEP,Personenauto,ZWART,Benzine
50GVHD,2004-01-16,VOLVO,Personenauto,GRIJS,Benzine
40GHXR,2004-01-15,MITSUBISHI,Personenauto,BLAUW,Benzine/LPG
PPSZ02,2004-02-13,SUBARU,Personenauto,BLAUW,Benzine
XR3833,2004-01-17,BMW,Motorfiets,N.v.t.,Benzine
56NSFK,2004-01-27,MG,Personenauto,GROEN,Benzine
42SR17,2004-02-02,CITROEN,Personenauto,WIT,Benzine
VV39LN,2004-02-09,SUZUKI,Bedrijfsauto,N.v.t.,Benzine
02NPPX,2004-01-08,OPEL,Personenauto,GRIJS,Benzine
RH9768,2004-01-02,NORTON,Motorfiets,N.v.t.,Benzine
DZLV16,2004-01-19,TOYOTA,Personenauto,ROOD,Benzine
28NNTR,2004-01-06,CITROEN,Personenauto,GRIJS,Benzine
MJVJ45,2004-01-22,BMW,Motorfiets,N.v.t.,Benzine
78HXTJ,2004-01-15,OPEL,Personenauto,GRIJS,Benzine
MN33XR,2004-01-20,KAWASAKI,Motorfiets,N.v.t.,Benzine
89NRNF,2004-01-21,DAIHATSU,Personenauto,BEIGE,Benzine
MJVL53,2004-02-13,HONDA,Motorfiets,N.v.t.,Benzine
91NPBP,2004-01-09,VOLKSWAGEN,Personenauto,BLAUW,Benzine
LXJD08,2004-01-30,VOLKSWAGEN,Personenauto,ZWART,Benzine
32NTGX,2004-02-12,BMW,Personenauto,GRIJS,Benzine
ML44NX,2004-01-03,JAWA,Motorfiets,N.v.t.,Benzine
JZ05YP,2004-02-13,BMW,Personenauto,GROEN,Benzine
19LFBS,2004-01-29,NISSAN,Personenauto,GRIJS,Benzine
MJTS59,2004-01-16,HARLEY DAVIDSON,Motorfiets,N.v.t.,Benzine
26NNNR,2004-01-05,PEUGEOT,Personenauto,BLAUW,Benzine
80NTFG,2004-02-13,SAAB,Personenauto,BLAUW,Benzine
MHFG79,2004-01-14,HARLEY DAVIDSON,Motorfiets,N.v.t.,Benzine
22NSHG,2004-01-23,VOLKSWAGEN,Personenauto,GROEN,Benzine
95YA75,2004-02-12,CHEVROLET,Personenauto,ROOD,Benzine
38BLHG,2004-01-16,FORD,Bedrijfsauto,N.v.t.,Diesel
MHNS48,2004-01-07,BMW,Motorfiets,N.v.t.,Benzine
11NPFF,2004-02-13,RENAULT,Personenauto,GRIJS,Benzine
83NSZP,2004-02-06,FORD,Personenauto,GRIJS,Benzine
60LRDG,2004-01-21,VOLKSWAGEN,Personenauto,BLAUW,Benzine
97NSFG,2004-01-27,FORD,Personenauto,GRIJS,Benzine
AL6342,2004-02-11,PORSCHE,Personenauto,ORANJE,Benzine
88NRRK,2004-01-19,PEUGEOT,Personenauto,GRIJS,Benzine
71GRNV,2004-02-03,FORD,Personenauto,ROOD,Benzine
MT66JF,2004-02-07,YAMAHA,Motorfiets,N.v.t.,Benzine
63NSGT,2004-01-29,RENAULT,Personenauto,ROOD,Benzine
84NPLH,2004-01-30,HYUNDAI,Personenauto,GRIJS,Benzine
14NPPV,2004-01-27,HYUNDAI,Personenauto,GEEL,Benzine
06JHFD,2004-01-12,MAZDA,Personenauto,GROEN,Benzine
32NSHF,2004-01-23,TOYOTA,Personenauto,GROEN,Benzine
49BKXT,2004-01-02,VOLKSWAGEN,Bedrijfsauto,N.v.t.,Diesel
13NPBT,2004-01-02,VOLKSWAGEN,Personenauto,ZWART,Benzine
80NPZF,2004-01-20,FORD,Personenauto,BLAUW,Benzine
86NRNJ,2004-01-20,FORD,Personenauto,ZWART,Benzine
38LVPZ,2004-02-04,ELNAGH,Personenauto,WIT,Diesel
42NTDB,2004-02-06,MERCEDES-BENZ,Personenauto,GRIJS,Benzine
46NPPP,2004-01-03,HYUNDAI,Personenauto,GRIJS,Benzine
43HXTH,2004-01-23,OPEL,Personenauto,GRIJS,Benzine
MJVJ59,2004-02-14,DUCATI,Motorfiets,N.v.t.,Benzine
20NTLG,2004-02-13,OPEL,Personenauto,ZWART,Benzine
30NPKV,2004-01-05,FIAT,Personenauto,ROOD,Benzine
24NRRH,2004-01-19,VOLKSWAGEN,Personenauto,GRIJS,Benzine
99NPJJ,2004-01-30,VOLKSWAGEN,Personenauto,ZWART,Benzine
MS69RX,2004-01-23,YAMAHA,Motorfiets,N.v.t.,Benzine
AL6232,2004-01-21,OPEL,Personenauto,GEEL,Benzine
MP87PK,2004-02-10,SUZUKI,Motorfiets,N.v.t.,Benzine
25NRLZ,2004-01-23,DAX COBRA,Personenauto,BLAUW,Benzine
13NPBB,2004-01-09,MERCEDES-BENZ,Personenauto,GRIJS,Benzine
30NRPT,2004-01-26,FORD,Personenauto,GRIJS,Benzine
FSLR18,2004-01-17,MINI,Personenauto,GROEN,Benzine
ZJ04PN,2004-01-30,FORD,Personenauto,GRIJS,Benzine
ZV87BZ,2004-02-13,SAAB,Personenauto,GROEN,Benzine
34HGBF,2004-01-02,TOYOTA,Personenauto,GRIJS,Benzine
79NNHD,2004-02-07,OPEL,Personenauto,GRIJS,Benzine
MJTD68,2004-01-20,HONDA,Motorfiets,N.v.t.,Benzine
ZH4284,2004-01-02,SUZUKI,Motorfiets,N.v.t.,Benzine
15GBKT,2004-02-06,TOYOTA,Personenauto,ZWART,Benzine
66LLXV,2004-01-15,TOYOTA,Personenauto,BLAUW,Benzine
MF88YY,2004-01-22,VESPA,Motorfiets,N.v.t.,Benzine
MJVS99,2004-02-04,YAMAHA,Motorfiets,N.v.t.,Benzine
MK54DD,2004-01-17,YAMAHA,Motorfiets,N.v.t.,Benzine
94FPPH,2004-01-17,OPEL,Personenauto,GRIJS,Benzine
11HGPR,2004-01-12,RENAULT,Personenauto,ROOD,Benzine
49LSNX,2004-02-11,VOLKSWAGEN,Personenauto,ZWART,Benzine
MY35SN,2004-02-06,YAMAHA,Motorfiets,N.v.t.,Benzine
12NPVJ,2004-01-15,VOLKSWAGEN,Personenauto,GRIJS,Benzine
MJNG70,2004-01-17,KTM,Motorfiets,N.v.t.,Benzine
YS75VH,2004-02-05,PEUGEOT,Personenauto,GRIJS,Benzine
SLJF27,2004-02-09,OPEL,Personenauto,BLAUW,Benzine
34NNRV,2004-01-02,OPEL,Personenauto,GEEL,Benzine
DE5003,2004-01-15,FORD,Personenauto,GROEN,Benzine/LPG
MB67JP,2004-02-10,SUZUKI,Motorfiets,N.v.t.,Benzine
NP38KB,2004-02-11,MINI,Personenauto,BLAUW,Benzine
MG27PY,2004-01-02,VESPA,Motorfiets,N.v.t.,Benzine
TZ19VK,2004-02-16,MINI,Personenauto,ZWART,Benzine
MH51SG,2004-01-06,YAMAHA,Motorfiets,N.v.t.,Benzine
DH3740,2004-01-06,MERCEDES-BENZ,Personenauto,WIT,Benzine
TGVJ79,2004-01-02,OPEL,Personenauto,GRIJS,Benzine
MFBG99,2004-01-02,BMW,Motorfiets,N.v.t.,Benzine
MH34LF,2004-01-21,HONDA,Motorfiets,N.v.t.,Benzine
JDVF61,2004-02-10,CITROEN,Personenauto,BLAUW,Benzine/LPG
AL6271,2004-01-28,TRABANT,Personenauto,BRUIN,Benzine
34DTKB,2004-01-08,VOLKSWAGEN,Personenauto,GRIJS,Diesel
DM1946,2004-01-14,MG,Personenauto,ZWART,Benzine
32FXHH,2004-01-17,AUDI,Personenauto,GROEN,Benzine
MK08BT,2004-01-14,BMW,Motorfiets,N.v.t.,Benzine
MY98DS,2004-01-17,SUZUKI,Motorfiets,N.v.t.,Benzine
BPDD24,2004-01-05,DAF,Bedrijfsauto,N.v.t.,Diesel
64NTBT,2004-02-11,FORD,Personenauto,GROEN,Benzine
MP94ZN,2004-01-26,HONDA,Motorfiets,N.v.t.,Benzine
91YA91,2004-01-05,PONTIAC,Personenauto,BLAUW,Benzine
15NHZN,2004-01-07,CITROEN,Personenauto,BLAUW,Benzine
64JRRN,2004-02-07,MAZDA,Personenauto,GROEN,Benzine
89NRXV,2004-01-27,SKODA,Personenauto,GRIJS,Benzine
18GZRL,2004-01-30,PORSCHE,Personenauto,PAARS,Benzine
92NNTK,2004-01-02,MAZDA,Personenauto,GRIJS,Benzine
02VDRH,2004-01-16,MERCEDES-BENZ,Bedrijfsauto,N.v.t.,Diesel
MDDG59,2004-02-12,YAMAHA,Motorfiets,N.v.t.,Benzine
GJXZ28,2004-02-04,PEUGEOT,Personenauto,ROOD,Benzine
KG74PJ,2004-01-16,MINI,Personenauto,BLAUW,Benzine
MT83DY,2004-02-03,HONDA,Motorfiets,N.v.t.,Benzine
25NNTN,2004-01-09,MAZDA,Personenauto,GRIJS,Benzine
55NNDV,2004-01-10,RENAULT,Personenauto,ZWART,Benzine
16DZNH,2004-02-11,VOLVO,Personenauto,ZWART,Diesel
53NSJP,2004-01-28,FORD,Personenauto,BLAUW,Benzine
94LTZF,2004-02-10,OPEL,Personenauto,ZWART,Benzine/LPG
37LDFD,2004-02-06,OPEL,Personenauto,ZWART,Benzine
72NLRT,2004-01-29,DAIHATSU,Personenauto,ROOD,Benzine
MDPF51,2004-01-07,KTM,Motorfiets,N.v.t.,Benzine
MDRF90,2004-01-13,YAMAHA,Motorfiets,N.v.t.,Benzine
VB72ZS,2004-02-07,SCANIA,Bedrijfsauto,N.v.t.,Diesel
KN61KF,2004-01-05,CITROEN,Personenauto,ROOD,Benzine
31LDRF,2004-01-26,VOLKSWAGEN,Personenauto,GRIJS,Benzine
AL6227,2004-01-20,FIAT,Personenauto,ROOD,Benzine
HBLJ13,2004-02-05,PONTIAC,Personenauto,BRUIN,Benzine
26BLJK,2004-01-23,MERCEDES-BENZ,Bedrijfsauto,N.v.t.,Diesel
ZM8595,2004-01-02,TRIUMPH,Motorfiets,N.v.t.,Benzine
PNGD29,2004-01-15,TOYOTA,Personenauto,GROEN,Benzine
MJPB33,2004-02-06,HONDA,Motorfiets,N.v.t.,Benzine
64NNND,2004-01-02,VOLKSWAGEN,Personenauto,BLAUW,Benzine
VU9772,2004-01-12,SUZUKI,Motorfiets,N.v.t.,Benzine
MK09TJ,2004-02-05,HARLEY DAVIDSON,Motorfiets,N.v.t.,Benzine
89YA54,2004-01-09,ALFA ROMEO,Personenauto,BLAUW,Benzine
DL3358,2004-01-30,WILLYS,Personenauto,GROEN,Benzine
05GKZV,2004-01-12,VOLKSWAGEN,Personenauto,BLAUW,Benzine
79NHRS,2004-01-21,RENAULT,Personenauto,ZWART,Benzine
RR0389,2004-01-27,VESPA,Motorfiets,N.v.t.,Benzine
DZDJ42,2004-02-13,MERCEDES-BENZ,Personenauto,GRIJS,Benzine
JZ60FV,2004-02-02,BERTONE,Personenauto,ROOD,Benzine
19LJGN,2004-01-21,OPEL,Personenauto,GRIJS,Benzine
19NHSV,2004-01-29,FORD,Personenauto,GRIJS,Benzine
JRPJ29,2004-01-10,OPEL,Personenauto,ZWART,Benzine
VV35SV,2004-01-28,VOLVO,Bedrijfsauto,N.v.t.,Diesel
95NRTG,2004-01-21,HYUNDAI,Personenauto,ZWART,Benzine
TTZZ04,2004-02-14,MERCEDES-BENZ,Personenauto,BLAUW,Benzine
XR6310,2004-01-22,SUZUKI,Motorfiets,N.v.t.,Benzine
EM5335,2004-01-08,DAF,Personenauto,BEIGE,Benzine
MN91LY,2004-01-22,KAWASAKI,Motorfiets,N.v.t.,Benzine
85NPDR,2004-01-22,PEUGEOT,Personenauto,GRIJS,Benzine
41LHTJ,2004-01-30,AUDI,Personenauto,ZWART,Benzine
LK50JS,2004-02-14,CITROEN,Personenauto,BLAUW,Benzine
ZFFJ44,2004-02-04,PEUGEOT,Personenauto,ZWART,Benzine
XD64YR,2004-01-19,PEUGEOT,Personenauto,ROOD,Benzine
10NTJK,2004-02-13,TOYOTA,Personenauto,BLAUW,Benzine
72RX44,2004-02-13,PEUGEOT,Personenauto,ROOD,Benzine
06NRNG,2004-01-20,NISSAN,Personenauto,ZWART,Benzine
08NLXR,2004-01-28,FIAT,Personenauto,BLAUW,Benzine
18NNPN,2004-01-13,TOYOTA,Personenauto,GRIJS,Benzine
MR35HN,2004-01-31,HONDA,Motorfiets,N.v.t.,Benzine
22FXZB,2004-02-05,TOYOTA,Personenauto,BLAUW,Benzine
45JXFB,2004-02-05,MERCEDES-BENZ,Personenauto,BEIGE,Benzine
74GHVJ,2004-01-09,SKODA,Personenauto,BLAUW,Benzine
MJVN32,2004-02-14,DUCATI,Motorfiets,N.v.t.,Benzine
PZ18XJ,2004-02-12,CITROEN,Personenauto,ROOD,Benzine
34BLHF,2004-01-12,LAND ROVER,Bedrijfsauto,N.v.t.,Diesel
MBFX34,2004-02-13,YAMAHA,Motorfiets,N.v.t.,Benzine
77NPPV,2004-01-07,OPEL,Personenauto,GRIJS,Benzine
64NPXS,2004-01-07,RENAULT,Personenauto,GROEN,Benzine
BLDS08,2004-01-24,DAF,Bedrijfsauto,N.v.t.,Diesel
MDHJ74,2004-01-23,APRILIA,Motorfiets,N.v.t.,Benzine
41NNLL,2004-01-14,CITROEN,Personenauto,BLAUW,Benzine
VZBF10,2004-02-06,MERCEDES-BENZ,Bedrijfsauto,N.v.t.,Diesel
MR21DB,2004-01-20,KAWASAKI,Motorfiets,N.v.t.,Benzine
30NNPP,2004-01-12,TOYOTA,Personenauto,GRIJS,Benzine
MR22PJ,2004-01-17,KAWASAKI,Motorfiets,N.v.t.,Benzine
21GHLV,2004-01-13,NISSAN,Personenauto,BLAUW,Benzine
49HHSK,2004-01-30,SAAB,Personenauto,GRIJS,Benzine
ZF1788,2004-01-28,ZUENDAPP,Motorfiets,N.v.t.,Benzine
HT74LG,2004-01-17,VOLKSWAGEN,Personenauto,BLAUW,Diesel
MJVD54,2004-01-16,SUZUKI,Motorfiets,N.v.t.,Benzine
DM3541,2004-02-12,PONTIAC,Personenauto,ROOD,Benzine/LPG
BY55VP,2004-01-31,RENAULT,Bedrijfsauto,N.v.t.,Benzine
05ZX41,2004-01-09,VOLKSWAGEN,Personenauto,WIT,Benzine
85NPTJ,2004-01-09,TOYOTA,Personenauto,GRIJS,Benzine
ZGTB28,2004-02-12,FORD,Personenauto,ROOD,Benzine
MG80SK,2004-02-07,DUCATI,Motorfiets,N.v.t.,Benzine
10NHHB,2004-01-09,CITROEN,Personenauto,GRIJS,Benzine
DK51RS,2004-01-22,OPEL,Personenauto,WIT,Benzine
56NRRG,2004-01-16,SUZUKI,Personenauto,BLAUW,Benzine
62NSSX,2004-02-06,SUZUKI,Personenauto,BLAUW,Benzine
90NPRH,2004-01-15,TOYOTA,Personenauto,GRIJS,Benzine
29DPDD,2004-01-21,TOYOTA,Personenauto,GROEN,Benzine
MR30RV,2004-02-09,YAMAHA,Motorfiets,N.v.t.,Benzine
MJND95,2004-01-10,YAMAHA,Motorfiets,N.v.t.,Benzine
MN16SB,2004-01-16,HARLEY DAVIDSON,Motorfiets,N.v.t.,Benzine
50DFRD,2004-01-29,VOLVO,Personenauto,BLAUW,Benzine
51NTFJ,2004-02-11,SEAT,Personenauto,GRIJS,Benzine
MJTV01,2004-01-13,HARLEY DAVIDSON,Motorfiets,N.v.t.,Benzine
91NPHS,2004-01-02,SUZUKI,Personenauto,GRIJS,Benzine
ZGVD09,2004-01-16,TOYOTA,Personenauto,GROEN,Benzine
XXNP58,2004-02-13,SAAB,Personenauto,GROEN,Benzine
MJVB76,2004-01-17,SUZUKI,Motorfiets,N.v.t.,Benzine
MHVG85,2004-01-24,DUCATI,Motorfiets,N.v.t.,Benzine
MN60YJ,2004-02-04,HONDA,Motorfiets,N.v.t.,Benzine
77NNXH,2004-01-02,BMW,Personenauto,ZWART,Diesel
DV9956,2004-02-09,DAF,Bedrijfsauto,N.v.t.,Diesel
06BLGF,2004-01-06,MERCEDES-BENZ,Bedrijfsauto,N.v.t.,Diesel
05NRLB,2004-01-22,CITROEN,Personenauto,ZWART,Benzine
79BLDK,2004-02-10,LAND ROVER,Bedrijfsauto,N.v.t.,Diesel
XFDS08,2004-02-04,VOLVO,Personenauto,GRIJS,Benzine
11NRGT,2004-01-09,HYUNDAI,Personenauto,GRIJS,Benzine
MS18ZD,2004-01-12,YAMAHA,Motorfiets,N.v.t.,Benzine
MJVX53,2004-02-14,HONDA,Motorfiets,N.v.t.,Benzine
AL6322,2004-02-06,ROSENGART,Personenauto,ROOD,Benzine
69LLRB,2004-02-06,TOYOTA,Personenauto,GRIJS,Benzine
TV06HX,2004-02-07,ALFA ROMEO,Personenauto,GRIJS,Benzine
MJSB98,2004-01-30,BMW,Motorfiets,N.v.t.,Benzine
09NRXT,2004-01-22,TOYOTA,Personenauto,BLAUW,Benzine
35DSHX,2004-01-10,DAEWOO,Personenauto,ROOD,Benzine
TLXZ33,2004-01-28,VOLKSWAGEN,Personenauto,ZWART,Benzine
JK89FG,2004-01-31,VOLKSWAGEN,Personenauto,WIT,Benzine
BA7980,2004-01-23,DAF,Bedrijfsauto,N.v.t.,Diesel
98VPKB,2004-02-09,SEAT,Bedrijfsauto,N.v.t.,Diesel
MK92BV,2005-01-17,KAWASAKI,Motorfiets,N.v.t.,Benzine
29BRFS,2005-01-15,KIA,Bedrijfsauto,N.v.t.,Diesel
23PZZR,2005-01-10,HONDA,Personenauto,BLAUW,Benzine
03PZFH,2005-01-06,SUZUKI,Personenauto,ROOD,Benzine
99RBJD,2005-01-22,FIAT,Personenauto,ROOD,Benzine
4299SP,2005-02-14,OPEL,Personenauto,BEIGE,Benzine
