kenteken,datum_tenaamstelling,merk,voertuigsoort,eerste_kleur,brandstof_omschrijving
53NNRX,2004-01-06,TOYOTA,Personenauto,BLAUW,Benzine
96NPSL,2004-01-29,MAZDA,Personenauto,GRIJS,Benzine
04BLKP,2004-02-05,PEUGEOT,Bedrijfsauto,N.v.t.,Diesel
26NRNF,2004-02-04,CITROEN,Personenauto,BEIGE,Benzine
04LFJP,2004-01-30,PEUGEOT,Personenauto,GRIJS,Benzine
MJVS39,2004-01-30,MOTO-GUZZI,Motorfiets,N.v.t.,Benzine
MFVH19,2004-02-02,BMW,Motorfiets,N.v.t.,Benzine
DR3956,2004-01-30,VOLVO,Personenauto,ROOD,Benzine
MHSV96,2004-01-02,HONDA,Motorfiets,N.v.t.,Benzine
58BLJK,2004-01-26,CITROEN,Bedrijfsauto,N.v.t.,Diesel
91BLBH,2004-01-09,TOYOTA,Bedrijfsauto,N.v.t.,Diesel
37NRFF,2004-01-09,OPEL,Personenauto,GRIJS,Benzine
94NRBX,2004-01-13,NISSAN,Personenauto,GRIJS,Benzine
34BM54,2004-01-06,FORD,Personenauto,ROOD,Benzine
DVDB57,2004-01-27,MERCEDES-BENZ,Personenauto,BLAUW,Benzine
RVNT78,2004-02-13,TOYOTA,Personenauto,BLAUW,Benzine
AL6267,2004-01-28,DATSUN,Personenauto,ROOD,Benzine
MJTH92,2004-01-19,BMW,Motorfiets,N.v.t.,Benzine
76NTLK,2004-02-14,MERCEDES-BENZ,Personenauto,GRIJS,Benzine
7281BK,2004-01-16,VOLVO,Personenauto,GROEN,Benzine/LPG
82DBBN,2004-02-02,OPEL,Personenauto,GRIJS,Benzine
49NNZV,2004-01-06,TOYOTA,Personenauto,GROEN,Benzine
MGST10,2004-02-03,SUZUKI,Motorfiets,N.v.t.,Benzine
30NPBX,2004-02-04,AUDI,Personenauto,GRIJS,Benzine
HN05XB,2004-01-10,VOLKSWAGEN,Personenauto,BLAUW,Benzine
MP26JG,2004-02-02,SUZUKI,Motorfiets,N.v.t.,Benzine
48LTZS,2004-01-14,VOLKSWAGEN,Personenauto,BLAUW,Benzine
07DHGN,2004-02-12,PEUGEOT,Personenauto,ROOD,Benzine
07NRLS,2004-02-06,PEUGEOT,Personenauto,GROEN,Benzine/LPG
RXTG94,2004-02-07,BMW,Personenauto,BLAUW,Benzine
VZ5718,2004-02-06,HONDA,Motorfiets,N.v.t.,Benzine
